date,eps
2024-12-31,8.242879746835444
2024-09-30,6.203242388295769
2024-06-30,5.313733228097869
2024-03-31,4.8601178781925345
2023-12-31,5.464717348927875
2023-09-30,4.496506211180124
2023-06-30,3.032710280373832
2023-03-31,2.206803247004252
2022-12-31,1.7631678666161426
2022-09-30,1.638702460850112
2022-06-30,2.473002958579882
2022-03-31,2.7394495412844035
2021-12-31,3.721056439942113
2021-09-30,3.267235252309879
2021-06-30,3.667607621736062
2021-03-31,3.335792061819459
2020-12-31,3.9309740714786265
2020-09-30,2.752982456140351
2020-06-30,1.8168421052631578
2020-03-31,1.7193967029112591
2019-12-31,2.577692037881445
2019-09-30,2.134197617379117
2019-06-30,0.9162872154115587
2019-03-31,0.8504901960784313
2018-12-31,2.3937391304347826
2018-09-30,1.7805892547660311
2018-06-30,1.7637305699481864
2018-03-31,1.7164487267721955
2017-12-31,1.4670103092783504
2017-09-30,1.6208677685950412
2017-06-30,1.3427586206896551
2017-03-31,1.0598408855067452
2016-12-31,1.2388059701492538
2016-09-30,0.9150121908742599
2016-06-30,0.7993697478991597
2016-03-31,0.6113260640168836
2015-12-31,0.5527620396600567
2015-09-30,0.3190883190883191
2015-06-30,0.2571530758226037
2015-03-31,0.1839080459770115
2014-12-31,0.253893516841724
2014-09-30,0.31155778894472363
2014-06-30,0.308984375
2014-03-31,0.25225933202357564
2013-12-31,0.21294788273615636
2013-09-30,0.1748971193415638
2013-06-30,0.13834648940589947
2013-03-31,0.09178541492036882
2012-12-31,0.026981450252951095
2012-09-30,-0.024380165289256198
2012-06-30,-0.08355508249068654
